time_s,lap,dist_m,speed_kph,engine_rpm,gear,throttle_pct,brake,pos_x,pos_y
0.0,1,0.0,106.2,11719,6,100.0,0,248.51,0.0
0.05,1,1.47,105.68,11661,6,0.0,1,249.01,1.39
0.1,1,2.93,104.82,11566,6,0.0,1,249.47,2.77
0.15,1,4.39,104.27,11505,6,0.0,1,249.89,4.16
0.2,1,5.83,103.86,11460,6,0.0,1,250.29,5.55
0.25,1,7.27,102.93,11358,6,26.6,1,250.66,6.94
0.3,1,8.7,103.09,11376,6,30.3,1,250.99,8.33
0.35,1,10.13,102.74,11337,6,0.0,1,251.29,9.73
0.4,1,11.55,101.93,11248,6,0.0,1,251.56,11.12
0.45,1,12.96,102.14,11271,6,96.4,0,251.8,12.52
0.5,1,14.38,101.87,11240,6,0.0,1,252.0,13.92
0.55,1,15.79,101.73,11226,6,0.0,1,252.18,15.32
0.6,1,17.2,100.98,11143,6,20.1,1,252.32,16.72
0.65,1,18.61,101.52,11203,6,39.1,1,252.44,18.13
0.7,1,20.01,100.7,11111,6,1.4,0,252.52,19.53
0.75,1,21.42,101.24,11171,6,58.1,0,252.57,20.93
0.8,1,22.82,101.18,11165,6,82.3,0,252.59,22.34
0.85,1,24.23,101.21,11168,6,0.0,1,252.57,23.74
0.9,1,25.63,100.94,11138,6,63.1,0,252.53,25.14
0.95,1,27.04,101.59,11210,6,3.7,1,252.46,26.55
1.0,1,28.44,101.19,11166,6,100.0,0,252.35,27.95
1.05,1,29.85,101.62,11213,6,100.0,0,252.21,29.35
1.1,1,31.27,101.93,11247,6,73.4,0,252.04,30.76
1.15,1,32.68,101.84,11237,6,68.3,0,251.84,32.16
1.2,1,34.1,102.44,11303,6,90.0,0,251.61,33.56
1.25,1,35.53,102.55,11316,6,52.5,0,251.35,34.96
1.3,1,36.95,102.9,11355,6,100.0,0,251.06,36.35
1.35,1,38.38,103.59,11431,6,100.0,0,250.73,37.75
1.4,1,39.83,104.25,11504,6,100.0,0,250.37,39.14
1.45,1,41.27,104.12,11489,6,100.0,0,249.98,40.54
1.5,1,42.73,105.2,11608,6,100.0,0,249.56,41.93
1.55,1,44.19,105.08,11595,6,100.0,0,249.11,43.32
1.6,1,45.65,106.02,11699,6,100.0,0,248.62,44.7
1.65,1,47.13,106.2,11719,6,100.0,0,248.1,46.08
1.7,1,48.6,106.2,11719,6,100.0,0,247.56,47.45
1.75,1,50.08,106.2,11719,6,100.0,0,246.98,48.81
1.8,1,51.55,106.2,11719,6,100.0,0,246.38,50.16
1.85,1,53.03,106.2,11719,6,100.0,0,245.76,51.49
1.9,1,54.5,106.2,11719,6,100.0,0,245.1,52.81
1.95,1,55.98,106.2,11719,6,100.0,0,244.42,54.12
2.0,1,57.45,106.2,11719,6,100.0,0,243.71,55.42
2.05,1,58.93,106.2,11719,6,100.0,0,242.99,56.7
2.1,1,60.4,106.2,11719,6,100.0,0,242.23,57.97
2.15,1,61.88,106.2,11719,6,100.0,0,241.45,59.22
2.2,1,63.35,106.2,11719,6,100.0,0,240.65,60.46
2.25,1,64.83,106.2,11719,6,100.0,0,239.83,61.69
2.3,1,66.3,106.2,11719,6,100.0,0,238.99,62.9
2.35,1,67.78,106.2,11719,6,100.0,0,238.13,64.09
2.4,1,69.25,106.2,11719,6,100.0,0,237.25,65.27
2.45,1,70.73,106.2,11719,6,100.0,0,236.34,66.44
2.5,1,72.2,106.2,11719,6,100.0,0,235.42,67.59
2.55,1,73.68,106.2,11719,6,100.0,0,234.48,68.73
2.6,1,75.15,106.2,11719,6,100.0,0,233.53,69.85
2.65,1,76.63,106.2,11719,6,100.0,0,232.55,70.96
2.7,1,78.1,106.2,11719,6,100.0,0,231.56,72.05
2.75,1,79.58,106.2,11719,6,100.0,0,230.55,73.13
2.8,1,81.05,106.2,11719,6,100.0,0,229.53,74.19
2.85,1,82.53,106.2,11719,6,100.0,0,228.49,75.24
2.9,1,84.0,106.2,11719,6,100.0,0,227.44,76.28
2.95,1,85.48,106.2,11719,6,100.0,0,226.37,77.29
3.0,1,86.95,106.2,11719,6,100.0,0,225.29,78.3
3.05,1,88.43,106.2,11719,6,100.0,0,224.2,79.29
3.1,1,89.9,106.2,11719,6,100.0,0,223.09,80.26
3.15,1,91.38,106.2,11719,6,100.0,0,221.98,81.23
3.2,1,92.85,106.2,11719,6,100.0,0,220.85,82.17
3.25,1,94.33,106.2,11719,6,100.0,0,219.7,83.11
3.3,1,95.8,106.2,11719,6,100.0,0,218.55,84.03
3.35,1,97.28,106.2,11719,6,100.0,0,217.39,84.93
3.4,1,98.75,106.2,11719,6,100.0,0,216.21,85.83
3.45,1,100.23,106.2,11719,6,100.0,0,215.03,86.71
3.5,1,101.7,106.2,11719,6,100.0,0,213.84,87.57
3.55,1,103.18,106.2,11719,6,100.0,0,212.63,88.43
3.6,1,104.65,106.2,11719,6,100.0,0,211.42,89.27
3.65,1,106.13,106.2,11719,6,100.0,0,210.2,90.1
3.7,1,107.6,106.2,11719,6,100.0,0,208.97,90.91
3.75,1,109.08,106.2,11719,6,100.0,0,207.73,91.71
3.8,1,110.55,106.2,11719,6,100.0,0,206.49,92.51
3.85,1,112.03,106.2,11719,6,100.0,0,205.24,93.29
3.9,1,113.5,106.2,11719,6,100.0,0,203.98,94.05
3.95,1,114.98,106.2,11719,6,100.0,0,202.71,94.81
4.0,1,116.45,106.2,11719,6,100.0,0,201.44,95.55
4.05,1,117.93,106.2,11719,6,100.0,0,200.16,96.29
4.1,1,119.4,106.2,11719,6,100.0,0,198.87,97.01
4.15,1,120.88,106.2,11719,6,100.0,0,197.58,97.72
4.2,1,122.35,106.2,11719,6,100.0,0,196.28,98.42
4.25,1,123.83,106.2,11719,6,100.0,0,194.98,99.11
4.3,1,125.3,106.2,11719,6,100.0,0,193.67,99.79
4.35,1,126.78,106.2,11719,6,100.0,0,192.36,100.47
4.4,1,128.25,106.2,11719,6,100.0,0,191.04,101.13
4.45,1,129.73,106.2,11719,6,100.0,0,189.72,101.78
